com-, con-, co-	ともに、強意
pycno-, pycn-	濃い、厚い
pykno-, pykn-	濃い、厚い
pylo-, pyl-	門脈
quarto-, quart-	4
quinto-, quint-	5、5つ、5度音階
ranio-, rani-	カエル
religio-, religi-	宗教
rhampho-, rhamph-	くちばし
rhino-, rhin-	鼻、鼻の
rhipio-, rhipi-	扇
rhombo-, rhomb-	ひし形
Romano-, Roman-	古代ローマの
rutheno-, ruthen-	［元素］ルテニウム
salicylo-, salicyl-	［物質］サリチル酸
sanguio-, sangui-	血液
sanguino-, sanguin-	血液
sauro-, saur-	トカゲ
saxio-, saxi-	岩、石
scapulo-, scapul-	肩甲骨
scelo-, scel-	脚
scientifico-, scientific-	科学の
Scoto-, Scot-	スコットランドの
secreto-, secret-	分泌
Semito-, Semit-	セムの
sensorio-, sensori-	感覚、感知
serio-, seri-	真剣、重大、深刻
serpentio-, serpenti-	蛇
sextio-, sexti-	6
sialo-, sial-	唾液
Siculo-, Sicul-	シチリアの
siliceo-, silice-	［物質］シリカ、ケイ土
siphono-, siphon-	管、パイプ、サイフォン
spleno-, splen-	脾臓
spondylo-, spondyl-	脊椎骨、椎骨
spongio-, spongi-	海綿動物、海綿状
spongo-, spong-	海綿動物
sporo-, spor-	種、胞子、芽胞
sporangio-, sporangi-	胞子嚢
stamino-, stamin-	雄ずい
stanno-, stann-	[元素]スズ
stauro-, staur-	十字、クロス
steato-, steat-	脂肪、獣脂
stereo-, stere-	固体の、実体の、堅固な、硬い
sterno-, stern-	胸、胸骨
stetho-, steth-	胸、胸部
stibo-, stib-	［物質］アンチモン
stomo-, stom-	口、小孔
stomato-, stomat-	口、口腔、(植物の)気孔
stropho-, stroph-	ねじれた
succino-, succin-	琥珀、[物質]琥珀酸
sulfo-, sulf-	[元素]硫黄、硫黄を含む
sulfa-, sulf-	［化学］スルファニルアミドから派生した（に深い関連を持つ）、スルホニル基を含む
sulfono-, sulfon-	[物質]スルホン酸
Sumero-, Sumer-	シュメールの
supero-, super-	～の上にある
sursumo-, sursum-	上方向に
symbolo-, symbol-	象徴
sympathico-, sympathic-	交感神経系
syro-, syr-	シリアの
tacho-, tach-	速度
taeno-, taen-	リボン、条虫状の
talco-, talc-	滑石
telo-, tel-	終わりの、完全の、終端、完成した、成熟した
tera-, ter-	一兆
terato-, terat-	奇観、奇形、怪物
tessara-, tessar-	4
thanato-, thanat-	死
theatro-, theatr-	劇場
thelyo-, thely-	雌
therio-, theri-	野生動物
thigmo-, thigm-	接触の
thiono-, thion-	[元素]硫黄
threo-, thre-	[物質]トレオース
thrombo-, thromb-	凝血
Tibeto-, Tibet-	チベットの
titano-, titan-	[元素]チタン
trigono-, trigon-	三角の
triplo-, tripl-	3、3倍の
